bundle,link_count,node_count,endpoint_in_base_ratio,node_in_base_ratio,seen_pair_ratio,exact_duplicate_ratio,valid_hscode_ratio,fish_hscode_ratio,outside_date_ratio,physical_field_ratio,unique_pair_ratio,max_pair_repeat,bad_country_count,ml_link_probability,ml_link_probability_p90,ml_validation_auc,ml_training_pairs,score,label
carp,165,245,1.0,1.0,0.9151515151515152,0.3333333333333333,0.8545454545454545,0.13333333333333333,0.0,0.4484848484848485,0.9696969696969697,3,0,0.9338,1.0,0.9759,12000,89.49,reliable
herring,154,199,1.0,1.0,0.9025974025974026,0.35714285714285715,0.8636363636363636,0.11038961038961038,0.0,0.43506493506493504,0.8766233766233766,10,0,0.9411,1.0,0.9759,12000,88.17,reliable
pollock,160,110,1.0,1.0,0.89375,0.575,0.875,0.50625,0.0,0.74375,0.425,34,0,0.8707,1.0,0.9759,12000,84.65,reliable
chub_mackerel,320,193,1.0,1.0,0.846875,0.403125,0.859375,0.353125,0.0,0.58125,0.384375,27,0,0.8577,1.0,0.9759,12000,79.41,reliable
salmon_wgl,216,120,1.0,1.0,0.9629629629629629,0.6620370370370371,0.8842592592592593,0.06481481481481481,0.0,0.3333333333333333,0.375,36,0,0.943,1.0,0.9759,12000,78.64,reliable
lichen,184,18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21195652173913043,0.06521739130434782,48,0,0.8821,1.0,0.9759,12000,76.0,suspicious
catfish,277,368,1.0,1.0,0.924187725631769,0.06498194945848375,0.8339350180505415,0.1407942238267148,0.08664259927797834,0.0,0.9169675090252708,7,173,0.9255,1.0,0.9759,12000,74.08,suspicious
salmon,132,8,1.0,1.0,0.7803030303030303,0.3939393939393939,0.3939393939393939,0.6060606060606061,0.0,0.6893939393939394,0.045454545454545456,34,0,0.8463,1.0,0.9759,12000,68.49,suspicious
shark,256,11,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1328125,0.03125,87,0,0.7763,1.0,0.9759,12000,68.29,suspicious
mackerel,198,243,1.0,1.0,0.9343434343434344,0.045454545454545456,0.8484848484848485,0.13636363636363635,0.32323232323232326,0.0,0.8737373737373737,9,134,0.9193,1.0,0.9759,12000,68.14,suspicious
tuna,314,29,1.0,1.0,1.0,0.0,0.7929936305732485,0.16878980891719744,0.0,0.0,0.07643312101910828,104,19,0.7001,1.0,0.9759,12000,55.81,suspicious
cod2,193,6,1.0,1.0,0.45595854922279794,0.0,0.0,1.0,0.0,1.0,0.015544041450777202,105,0,0.4754,1.0,0.9759,12000,48.69,reject
